date,hour,symbol,underlying,type,strike,open,high,low,close,volume_contracts,volume_usdt,best_bid_price,best_ask_price,best_bid_qty,best_ask_qty,best_buy_iv,best_sell_iv,mark_price,mark_iv,delta,gamma,vega,theta,openinterest_contracts,openinterest_usdt
2023-10-20,01,BTC-231229-34000-C,BTCUSDT,C,231229-34000,725.00000000,725.00000000,725.00000000,725.00000000,0E-8,0E-8,745.00000000,780.00000000,5.81000000,1.29000000,"",0.48220694,762.40000000,0.47771484,0.23858728,0.00005159,38.95827352,-13.24622221,4.98000000,142676.47973646
2023-10-20,01,BTC-240927-22000-P,BTCUSDT,P,240927-22000,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,1790.00000000,2190.00000000,2.51000000,3.60000000,"",0.49773991,1988.00000000,0.47276855,-0.21015334,0.00002194,80.12745673,-5.51809758,0E-8,0E-8
2023-10-20,01,BTC-240927-26000-C,BTCUSDT,C,240927-26000,7670.00000000,7670.00000000,7670.00000000,7670.00000000,0E-8,0E-8,6520.00000000,9220.00000000,1.97000000,2.18000000,"",0.75680971,7879.00000000,0.62110126,0.67822413,0.00002077,99.61210109,-9.01226503,0.02000000,572.99791059
2023-10-20,02,BTC-231124-20000-P,BTCUSDT,P,231124-20000,50.00000000,60.00000000,50.00000000,60.00000000,13.00000000,13.00000000,50.00000000,55.00000000,1.00000000,7.03000000,"",0.63496411,52.00000000,0.62988669,-0.02310649,0.00000965,4.92345835,-4.40409919,237.24000000,6879641.20526020
2023-10-20,03,BTC-231027-26000-P,BTCUSDT,P,231027-26000,75.00000000,75.00000000,45.00000000,45.00000000,18.61000000,18.61000000,40.00000000,45.00000000,11.13000000,7.39000000,"",0.51863611,42.00000000,0.51247120,-0.04749691,0.00004715,4.05524318,-14.49901379,203.48000000,5949964.54501188
2023-10-20,03,BTC-231229-35000-P,BTCUSDT,P,231229-35000,7350.00000000,7350.00000000,7350.00000000,7350.00000000,0E-8,0E-8,5740.00000000,6840.00000000,1.50000000,1.50000000,"",0.56465864,6075.00000000,0.35732932,-0.85772552,0.00004913,28.84481683,-7.34472478,31.53000000,921969.63880590
2023-10-20,04,BTC-231229-35000-C,BTCUSDT,C,231229-35000,590.00000000,675.00000000,550.00000000,660.00000000,2.96000000,2.96000000,770.00000000,810.00000000,2.50000000,6.07000000,"",0.49524963,789.00000000,0.49020588,0.23675257,0.00004898,39.65417557,-13.86004063,97.45000000,2857461.01264100
2023-10-20,05,BTC-231124-32000-P,BTCUSDT,P,231124-32000,4230.00000000,4230.00000000,3350.00000000,3350.00000000,0.50000000,0.50000000,3055.00000000,3550.00000000,1.50000000,1.50000000,"",0.48596144,3287.00000000,0.39922833,-0.74909861,0.00008802,28.84520416,-16.41209361,12.97000000,378937.96532710
2023-10-20,05,BTC-231124-34000-C,BTCUSDT,C,231124-34000,230.00000000,365.00000000,230.00000000,365.00000000,1.18000000,1.18000000,350.00000000,365.00000000,4.66000000,1.98000000,"",0.47465980,357.00000000,0.47136009,0.16775569,0.00005875,22.73147625,-15.27036641,116.98000000,3417745.81217924
2023-10-20,06,BTC-240329-26000-P,BTCUSDT,P,240329-26000,1990.00000000,1990.00000000,1990.00000000,1990.00000000,0.70000000,0.70000000,1865.00000000,1935.00000000,1.50000000,2.43000000,"",0.45573413,1899.00000000,0.45049578,-0.29219428,0.00003920,66.81556181,-9.34544676,67.65000000,1980009.26719782
2023-10-20,06,BTC-240628-30000-P,BTCUSDT,P,240628-30000,6190.00000000,6190.00000000,6190.00000000,6190.00000000,0E-8,0E-8,4315.00000000,5200.00000000,0.15000000,4.17000000,"",0.49532890,4758.00000000,0.44940233,-0.45147520,0.00003621,96.35740113,-8.59049208,5.21000000,152488.51858242
2023-10-20,06,BTC-240927-35000-C,BTCUSDT,C,240927-35000,3780.00000000,3780.00000000,3780.00000000,3780.00000000,0E-8,0E-8,4010.00000000,4905.00000000,4.36000000,2.42000000,"",0.60675442,4457.00000000,0.56718051,0.48029174,0.00002475,113.11509005,-9.35114871,1.05000000,30731.85115385
2023-10-20,10,BTC-231103-28000-P,BTCUSDT,P,231103-28000,445.00000000,445.00000000,245.00000000,245.00000000,6.54000000,6.54000000,255.00000000,260.00000000,8.35000000,3.60000000,"",0.39972842,257.40000000,0.39816350,-0.19354310,0.00011842,15.97523630,-22.92162397,16.86000000,503579.07296040
2023-10-20,12,BTC-231229-23000-P,BTCUSDT,P,231229-23000,345.00000000,355.00000000,325.00000000,330.00000000,5.69000000,5.69000000,315.00000000,360.00000000,11.56000000,4.34000000,"",0.50029218,337.10000000,0.49050629,-0.10211467,0.00002815,22.99607043,-8.08099010,32.62000000,962498.62103092
2023-10-20,13,BTC-231124-27000-C,BTCUSDT,C,231124-27000,2530.00000000,3520.00000000,2375.00000000,3475.00000000,28.21000000,28.21000000,3095.00000000,3715.00000000,1.50000000,2.84000000,"",0.61241865,3392.00000000,0.50459027,0.75171802,0.00006858,28.96897142,-21.03231126,166.45000000,4935597.80673000
2023-10-20,13,BTC-240329-30000-C,BTCUSDT,C,240329-30000,3205.00000000,3725.00000000,3205.00000000,3720.00000000,21.36000000,21.36000000,4095.00000000,4190.00000000,2.48000000,2.38000000,"",0.55541277,4142.00000000,0.54929376,0.55976672,0.00003649,77.62502100,-13.26249963,69.29000000,2054596.40749968
2023-10-20,13,BTC-240628-26000-C,BTCUSDT,C,240628-26000,5530.00000000,5530.00000000,5530.00000000,5530.00000000,0E-8,0E-8,6455.00000000,7805.00000000,3.52000000,4.33000000,"",0.63692451,7128.00000000,0.55838466,0.69685786,0.00002540,86.02852909,-9.54061738,1.80000000,53373.84230768
2023-10-20,14,BTC-231103-28000-P,BTCUSDT,P,231103-28000,445.00000000,445.00000000,245.00000000,295.00000000,7.86000000,7.86000000,265.00000000,270.00000000,1.44000000,6.25000000,"",0.37451208,267.40000000,0.37301004,-0.21258972,0.00013573,16.64254132,-22.64254013,17.82000000,526853.34834719
2023-10-20,15,BTC-231103-27000-C,BTCUSDT,C,231103-27000,1590.00000000,1590.00000000,1590.00000000,1590.00000000,0E-8,0E-8,2705.00000000,2855.00000000,1.50000000,2.97000000,"",0.53206444,2775.70000000,0.47617555,0.84748459,0.00008658,13.48050132,-23.48443774,10.99000000,324747.36374615
2023-10-20,15,BTC-231229-35000-P,BTCUSDT,P,231229-35000,7350.00000000,7350.00000000,5890.00000000,5895.00000000,11.53000000,11.53000000,6045.00000000,6130.00000000,3.42000000,1.61000000,"",0.45017958,6087.00000000,0.43893218,-0.78427275,0.00005166,37.79617120,-11.90666489,41.10000000,1214478.31209887
2023-10-20,17,BTC-240329-40000-P,BTCUSDT,P,240329-40000,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,11345.00000000,11465.00000000,2.46000000,2.46000000,"",0.47933578,11404.00000000,0.46856046,-0.79461573,0.00003101,55.68782267,-8.12447632,0E-8,0E-8
2023-10-20,18,BTC-231027-28000-C,BTCUSDT,C,231027-28000,1200.00000000,2040.00000000,1200.00000000,1820.00000000,18.76000000,18.76000000,1600.00000000,1645.00000000,1.50000000,0.08000000,"",0.42169571,1621.00000000,0.39817452,0.84071290,0.00015434,9.57685638,-29.14588652,215.10000000,6342719.41186910
2023-10-20,18,BTC-231124-22000-P,BTCUSDT,P,231124-22000,100.00000000,100.00000000,90.00000000,90.00000000,1.02000000,1.02000000,90.00000000,100.00000000,9.25000000,15.00000000,"",0.58561385,94.00000000,0.57941765,-0.04160015,0.00001693,8.06962661,-6.76817731,195.33000000,5759755.38224264
2023-10-20,18,BTC-240628-15000-C,BTCUSDT,C,240628-15000,13170.00000000,13170.00000000,13170.00000000,13170.00000000,0E-8,0E-8,1000.00000000,17000.00000000,0.01000000,3.80000000,"",1.12072468,14999.00000000,0.63536234,0.93884820,0.00000777,29.59682874,-3.73789156,2.26000000,66641.31041759
2023-10-20,20,BTC-231103-27500-C,BTCUSDT,C,231103-27500,2500.00000000,2500.00000000,2500.00000000,2500.00000000,0.01000000,0.01000000,2270.00000000,2455.00000000,1.50000000,3.00000000,"",0.51504612,2358.10000000,0.45478106,0.80979405,0.00010514,15.42182586,-26.05652586,17.36000000,513455.66886155
2023-10-20,21,BTC-240628-25000-P,BTCUSDT,P,240628-25000,3385.00000000,3385.00000000,3385.00000000,3385.00000000,0E-8,0E-8,1880.00000000,2530.00000000,2.35000000,3.34000000,"",0.49829960,2202.00000000,0.45769632,-0.26244279,0.00002897,80.10750935,-7.29166267,4.23000000,125258.55593736
2023-10-20,22,BTC-231124-26000-P,BTCUSDT,P,231124-26000,335.00000000,340.00000000,295.00000000,330.00000000,7.19000000,7.19000000,320.00000000,330.00000000,2.50000000,1.98000000,"",0.44225454,324.90000000,0.43987602,-0.14780940,0.00005764,21.02273917,-13.45075741,36.76000000,1089888.94274270
2023-10-20,00,BTC-240927-30000-P,BTCUSDT,P,240927-30000,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,5050.00000000,6180.00000000,3.89000000,2.33000000,"",0.48707604,5616.00000000,0.43581426,-0.45953404,0.00003279,110.23887168,-6.99750030,0E-8,0E-8
2023-10-20,02,BTC-231124-30000-P,BTCUSDT,P,231124-30000,1995.00000000,2145.00000000,1995.00000000,2070.00000000,3.29000000,3.29000000,1805.00000000,1845.00000000,2.45000000,2.41000000,"",0.34772873,1824.00000000,0.34194708,-0.60753045,0.00012489,34.59405349,-16.79905086,18.34000000,531835.35535522
2023-10-20,03,BTC-231124-22000-C,BTCUSDT,C,231124-22000,4935.00000000,4935.00000000,4935.00000000,4935.00000000,0E-8,0E-8,6650.00000000,8125.00000000,1.50000000,3.84000000,"",1.06075287,7371.00000000,0.60537643,0.94600638,0.00001996,9.94872208,-8.56310889,26.31000000,769331.46834707
2023-10-20,03,BTC-240927-35000-C,BTCUSDT,C,240927-35000,3780.00000000,3780.00000000,3780.00000000,3780.00000000,0E-8,0E-8,3995.00000000,4885.00000000,3.08000000,2.90000000,"",0.60691535,4439.00000000,0.56750208,0.47931924,0.00002476,112.94198416,-9.33872884,1.05000000,30703.08026471
2023-10-20,04,BTC-231020-22500-P,BTCUSDT,P,231020-22500,5.00000000,5.00000000,5.00000000,5.00000000,3.75000000,3.75000000,0E-8,5.00000000,0E-8,12.94000000,"",5.66695690,1.00000000,1.08750000,0E-8,0E-8,0E-8,0E-8,212.55000000,6232461.14147610
